Sample,Target,Cq,AMP,Amp Score,Result,Cq Conf,Cq SD,Well
HH096_produce,Adenovirus 40/41,NA,No Amp,0.62,Negative,0.44,NA,A1
HH096_produce,Aeromonas,21.56,Amp,1.52,Positive,0.95,0.83,A2
HH096_produce,Ancylostoma,NA,No Amp,0.37,Negative,0.09,NA,A3
HH096_produce,Ascaris,NA,No Amp,0.03,Negative,0.45,NA,A4
HH096_produce,Astrovirus,NA,No Amp,0.32,Negative,0.3,NA,A5
HH096_produce,BacHum,27.02,Amp,1.97,Positive,0.95,0.53,A6
HH096_produce,Bacteroides fragilis,NA,No Amp,0.31,Negative,0.35,NA,B1
HH096_produce,Blastocystis,NA,No Amp,0.99,Negative,0.27,NA,B2
HH096_produce,Campylobacter,NA,Inconclusive,0.5,Equivocal,0.19,NA,B3
HH096_produce,Clostridium difficile,NA,No Amp,0.37,Negative,0.07,NA,B4
HH096_produce,CrAssphage,29.51,Amp,1.76,Positive,0.95,0.85,B5
HH096_produce,Cryptosporidium,NA,No Amp,0.8,Negative,0.07,NA,B6
HH096_produce,Cyclospora,33.4,Amp,1.26,Positive,0.96,0.98,C1
HH096_produce,Dientamoeba fragilis,NA,No Amp,1.1,Negative,0.26,NA,C2
HH096_produce,E. coli O157,22.76,Amp,1.75,Positive,0.86,0.61,C3
HH096_produce,EAEC,NA,No Amp,0.96,Negative,0.44,NA,C4
HH096_produce,EPEC,30.21,Amp,1.36,Positive,0.87,0.21,C5
HH096_produce,ETEC,22.52,Amp,1.84,Positive,0.95,0.79,C6
HH096_produce,Entamoeba histolytica,NA,No Amp,0.46,Negative,0.14,NA,D1
HH096_produce,Enterovirus,NA,No Amp,0.01,Negative,0.26,NA,D2
HH096_produce,Giardia,24.93,Amp,1.94,Positive,0.92,0.6,D3
HH096_produce,HF183,NA,No Amp,0.14,Negative,0.33,NA,D4
HH096_produce,Helicobacter pylori,NA,Inconclusive,0.7,Equivocal,0.15,NA,D5
HH096_produce,Hepatitis A,NA,Inconclusive,0.56,Equivocal,0.16,NA,D6
HH096_produce,Hepatitis E,29.72,Amp,1.59,Positive,0.88,0.19,E1
HH096_produce,Listeria monocytogenes,NA,No Amp,0.17,Negative,0.18,NA,E2
HH096_produce,MS2,NA,No Amp,0.16,Negative,0.41,NA,E3
HH096_produce,Necator,NA,No Amp,0.35,Negative,0.49,NA,E4
HH096_produce,No Template Control,NA,No Amp,0.68,Negative,0.36,NA,E5
HH096_produce,Norovirus GI,NA,No Amp,0.38,Negative,0.02,NA,E6
HH096_produce,Norovirus GII,NA,No Amp,0.55,Negative,0.35,NA,F1
HH096_produce,Rotavirus A,NA,No Amp,0.74,Negative,0,NA,F2
HH096_produce,STEC,NA,No Amp,0.36,Negative,0.33,NA,F3
HH096_produce,Salmonella,NA,No Amp,0.96,Negative,0.5,NA,F4
HH096_produce,Sapovirus,NA,Inconclusive,0.67,Equivocal,0.31,NA,F5
HH096_produce,Shigella,NA,No Amp,1,Negative,0.43,NA,F6
HH096_produce,Sketa22,NA,No Amp,0.76,Negative,0.24,NA,G1
HH096_produce,Spiked_Extraction_Control,NA,No Amp,0.67,Negative,0.31,NA,G2
HH096_produce,Strongyloides,NA,No Amp,0.6,Negative,0.47,NA,G3
HH096_produce,Trichuris,NA,No Amp,0.75,Negative,0.17,NA,G4
HH096_produce,Vibrio cholerae,NA,No Amp,1.02,Negative,0.09,NA,G5
HH096_produce,Yersinia enterocolitica,29.35,Amp,1.72,Positive,0.8,0.57,G6
HH096_produce,blaCTX-M,NA,No Amp,0.71,Negative,0,NA,H1
HH096_produce,blaNDM,32.05,Amp,1.98,Positive,0.8,0.25,H2
HH096_produce,mecA,NA,Inconclusive,0.14,Equivocal,0.08,NA,H3
HH096_produce,qnrS,NA,Inconclusive,0.74,Equivocal,0.14,NA,H4
HH096_produce,sul1,22.59,Amp,1.4,Positive,0.8,0.13,H5
HH096_produce,tetA,29.53,Amp,1.61,Positive,0.93,0.45,H6
HH097_compost,Adenovirus 40/41,NA,No Amp,0.44,Negative,0.24,NA,A1
HH097_compost,Aeromonas,NA,No Amp,0.19,Negative,0.47,NA,A2
HH097_compost,Ancylostoma,NA,No Amp,0.35,Negative,0.45,NA,A3
HH097_compost,Ascaris,NA,No Amp,1.06,Negative,0.36,NA,A4
HH097_compost,Astrovirus,30.38,Amp,1.85,Positive,1,0.33,A5
HH097_compost,BacHum,NA,No Amp,0.11,Negative,0.15,NA,A6
HH097_compost,Bacteroides fragilis,NA,No Amp,0.7,Negative,0.43,NA,B1
HH097_compost,Blastocystis,NA,No Amp,1.01,Negative,0.07,NA,B2
HH097_compost,Campylobacter,NA,No Amp,1.05,Negative,0.32,NA,B3
HH097_compost,Clostridium difficile,NA,No Amp,0.03,Negative,0.33,NA,B4
HH097_compost,CrAssphage,NA,No Amp,0.3,Negative,0.25,NA,B5
HH097_compost,Cryptosporidium,NA,No Amp,0.97,Negative,0.44,NA,B6
HH097_compost,Cyclospora,NA,No Amp,0.11,Negative,0.27,NA,C1
HH097_compost,Dientamoeba fragilis,32.35,Amp,1.62,Positive,0.8,0.87,C2
HH097_compost,E. coli O157,NA,No Amp,0.96,Negative,0.03,NA,C3
HH097_compost,EAEC,NA,No Amp,0.94,Negative,0.32,NA,C4
HH097_compost,EPEC,27.15,Amp,1.78,Positive,0.87,0.53,C5
HH097_compost,ETEC,NA,No Amp,0.06,Negative,0.22,NA,C6
HH097_compost,Entamoeba histolytica,NA,Inconclusive,0.25,Equivocal,0.24,NA,D1
HH097_compost,Enterovirus,29.94,Amp,1.47,Positive,0.81,0.62,D2
HH097_compost,Giardia,NA,No Amp,0.17,Negative,0.03,NA,D3
HH097_compost,HF183,NA,No Amp,0.5,Negative,0.08,NA,D4
HH097_compost,Helicobacter pylori,33.34,Amp,1.39,Positive,0.95,0.31,D5
HH097_compost,Hepatitis A,NA,No Amp,0.83,Negative,0.47,NA,D6
HH097_compost,Hepatitis E,NA,No Amp,1.04,Negative,0.12,NA,E1
HH097_compost,Listeria monocytogenes,33.27,Amp,1.55,Positive,0.87,1,E2
HH097_compost,MS2,NA,No Amp,0.43,Negative,0.44,NA,E3
HH097_compost,Necator,29.56,Amp,1.69,Positive,0.88,0.85,E4
HH097_compost,No Template Control,NA,No Amp,0.53,Negative,0.08,NA,E5
HH097_compost,Norovirus GI,NA,No Amp,0.02,Negative,0.04,NA,E6
HH097_compost,Norovirus GII,NA,No Amp,0.24,Negative,0.41,NA,F1
HH097_compost,Rotavirus A,28.3,Amp,1.83,Positive,0.84,0.8,F2
