Sample,Target,Cq,AMP,Amp Score,Result,Cq Conf,Cq SD,Well
HH068_produce,Adenovirus 40/41,NA,No Amp,0.82,Negative,0.44,NA,A1
HH068_produce,Aeromonas,33.78,Amp,1.45,Positive,0.93,0.82,A2
HH068_produce,Ancylostoma,NA,No Amp,0.08,Negative,0.14,NA,A3
HH068_produce,Ascaris,32.32,Amp,1.69,Positive,0.84,0.23,A4
HH068_produce,Astrovirus,30.11,Amp,1.44,Positive,0.93,0.31,A5
HH068_produce,BacHum,26.02,Amp,1.27,Positive,0.82,0.11,A6
HH068_produce,Bacteroides fragilis,NA,No Amp,0.63,Negative,0.36,NA,B1
HH068_produce,Blastocystis,NA,Inconclusive,0.29,Equivocal,0.16,NA,B2
HH068_produce,Campylobacter,NA,Inconclusive,1.09,Equivocal,0.5,NA,B3
HH068_produce,Clostridium difficile,NA,Inconclusive,0.17,Equivocal,0.47,NA,B4
HH068_produce,CrAssphage,NA,No Amp,0.22,Negative,0.36,NA,B5
HH068_produce,Cryptosporidium,NA,No Amp,0.05,Negative,0.07,NA,B6
HH068_produce,Cyclospora,27.62,Amp,1.46,Positive,0.91,0.2,C1
HH068_produce,Dientamoeba fragilis,22.49,Amp,1.99,Positive,0.99,0.64,C2
HH068_produce,E. coli O157,NA,No Amp,0.31,Negative,0.2,NA,C3
HH068_produce,EAEC,25.99,Amp,1.53,Positive,0.95,0.63,C4
HH068_produce,EPEC,NA,No Amp,0.1,Negative,0.37,NA,C5
HH068_produce,ETEC,27.6,Amp,1.67,Positive,0.82,0.13,C6
HH068_produce,Entamoeba histolytica,NA,No Amp,0.96,Negative,0.45,NA,D1
HH068_produce,Enterovirus,NA,No Amp,0.47,Negative,0.17,NA,D2
HH068_produce,Giardia,NA,No Amp,1.06,Negative,0.01,NA,D3
HH068_produce,HF183,NA,No Amp,0.79,Negative,0.01,NA,D4
HH068_produce,Helicobacter pylori,25.1,Amp,1.33,Positive,0.81,0.49,D5
