Sample,Target,Cq,AMP,Amp Score,Result,Cq Conf,Cq SD,Well
HH001_compost,Adenovirus 40/41,NA,No Amp,0.03,Negative,0.1,NA,A1
HH001_compost,Aeromonas,NA,No Amp,0.33,Negative,0.4,NA,A2
HH001_compost,Ancylostoma,23.2,Amp,1.45,Positive,0.94,0.41,A3
HH001_compost,Ascaris,32.3,Amp,1.82,Positive,0.94,0.14,A4
HH001_compost,Astrovirus,NA,No Amp,0.43,Negative,0.09,NA,A5
HH001_compost,BacHum,NA,No Amp,0.76,Negative,0.09,NA,A6
HH001_compost,Bacteroides fragilis,23.66,Amp,1.88,Positive,0.91,0.62,B1
HH001_compost,Blastocystis,30.27,Amp,1.35,Positive,0.99,0.37,B2
HH001_compost,Campylobacter,NA,No Amp,1.04,Negative,0.16,NA,B3
HH001_compost,Clostridium difficile,NA,No Amp,0.92,Negative,0.2,NA,B4
HH001_compost,CrAssphage,NA,No Amp,0.72,Negative,0.41,NA,B5
HH001_compost,Cryptosporidium,NA,No Amp,0.87,Negative,0,NA,B6
HH001_compost,Cyclospora,20.8,Amp,1.3,Positive,0.89,0.13,C1
HH001_compost,Dientamoeba fragilis,NA,No Amp,0.76,Negative,0.21,NA,C2
HH001_compost,E. coli O157,NA,No Amp,0.01,Negative,0.39,NA,C3
HH001_compost,EAEC,25.18,Amp,1.69,Positive,0.82,0.4,C4
HH001_compost,EPEC,31.19,Amp,1.87,Positive,0.97,0.56,C5
HH001_compost,ETEC,34.72,Amp,1.36,Positive,0.95,0.45,C6
HH001_compost,Entamoeba histolytica,NA,Inconclusive,0.23,Equivocal,0.15,NA,D1
HH001_compost,Enterovirus,NA,No Amp,0.87,Negative,0.3,NA,D2
HH001_compost,Giardia,30.33,Amp,1.45,Positive,0.93,0.89,D3
HH001_compost,HF183,NA,No Amp,0.84,Negative,0.39,NA,D4
HH001_compost,Helicobacter pylori,NA,No Amp,0.26,Negative,0.48,NA,D5
HH001_compost,Hepatitis A,33.41,Amp,1.53,Positive,0.92,0.39,D6
HH001_compost,Hepatitis E,21.58,Amp,1.85,Positive,0.95,0.53,E1
HH001_compost,Listeria monocytogenes,NA,No Amp,0.5,Negative,0.08,NA,E2
HH001_compost,MS2,25.67,Amp,1.23,Positive,0.84,0.72,E3
HH001_compost,Necator,NA,No Amp,1.01,Negative,0.4,NA,E4
HH001_compost,No Template Control,NA,No Amp,0.82,Negative,0.46,NA,E5
HH001_compost,Norovirus GI,33.66,Amp,1.9,Positive,0.82,0.61,E6
HH001_compost,Norovirus GII,30.69,Amp,1.49,Positive,0.83,0.96,F1
HH001_compost,Rotavirus A,NA,No Amp,0.1,Negative,0.11,NA,F2
HH001_compost,STEC,31.25,Amp,1.98,Positive,0.86,0.48,F3
HH001_compost,Salmonella,28.28,Amp,1.23,Positive,0.82,0.49,F4
HH001_compost,Sapovirus,27.66,Amp,1.85,Positive,0.85,0.69,F5
HH001_compost,Shigella,NA,No Amp,0.76,Negative,0.4,NA,F6
HH001_compost,Sketa22,31.09,Amp,1.62,Positive,0.95,0.83,G1
