Sample,Target,Cq,AMP,Amp Score,Result,Cq Conf,Cq SD,Well
HH099_compost,Adenovirus 40/41,NA,No Amp,0.53,Negative,0.5,NA,A1
HH099_compost,Aeromonas,NA,No Amp,0.96,Negative,0.18,NA,A2
HH099_compost,Ancylostoma,NA,No Amp,0.21,Negative,0.35,NA,A3
HH099_compost,Ascaris,NA,No Amp,0.83,Negative,0.42,NA,A4
HH099_compost,Astrovirus,26.18,Amp,1.67,Positive,0.93,0.13,A5
HH099_compost,BacHum,NA,No Amp,0.07,Negative,0.28,NA,A6
HH099_compost,Bacteroides fragilis,NA,No Amp,0.85,Negative,0.49,NA,B1
HH099_compost,Blastocystis,NA,Inconclusive,0.91,Equivocal,0.37,NA,B2
HH099_compost,Campylobacter,NA,No Amp,0.09,Negative,0.13,NA,B3
HH099_compost,Clostridium difficile,NA,No Amp,0.97,Negative,0.02,NA,B4
HH099_compost,CrAssphage,NA,No Amp,0.35,Negative,0.47,NA,B5
HH099_compost,Cryptosporidium,NA,No Amp,0.4,Negative,0.18,NA,B6
HH099_compost,Cyclospora,NA,No Amp,0.13,Negative,0.15,NA,C1
HH099_compost,Dientamoeba fragilis,NA,No Amp,0.16,Negative,0.42,NA,C2
HH099_compost,E. coli O157,NA,No Amp,0.06,Negative,0.33,NA,C3
HH099_compost,EAEC,NA,No Amp,0.24,Negative,0.44,NA,C4
HH099_compost,EPEC,NA,No Amp,0.75,Negative,0.48,NA,C5
HH099_compost,ETEC,NA,No Amp,0.84,Negative,0.21,NA,C6
HH099_compost,Entamoeba histolytica,NA,No Amp,0.98,Negative,0.01,NA,D1
HH099_compost,Enterovirus,29.38,Amp,1.66,Positive,0.84,0.8,D2
HH099_compost,Giardia,NA,No Amp,1.02,Negative,0.44,NA,D3
HH099_compost,HF183,31.26,Amp,1.67,Positive,0.95,0.21,D4
HH099_compost,Helicobacter pylori,34.42,Amp,1.96,Positive,0.91,0.47,D5
HH099_compost,Hepatitis A,NA,No Amp,0.95,Negative,0.18,NA,D6
HH099_compost,Hepatitis E,30.07,Amp,1.44,Positive,0.9,0.99,E1
HH099_compost,Listeria monocytogenes,NA,No Amp,0.25,Negative,0.28,NA,E2
HH099_compost,MS2,NA,No Amp,0.15,Negative,0.38,NA,E3
HH099_compost,Necator,NA,No Amp,1.03,Negative,0.12,NA,E4
HH099_compost,No Template Control,NA,No Amp,0.33,Negative,0.25,NA,E5
HH099_compost,Norovirus GI,NA,No Amp,0.19,Negative,0.05,NA,E6
HH099_compost,Norovirus GII,NA,No Amp,0.15,Negative,0.04,NA,F1
HH099_compost,Rotavirus A,NA,No Amp,0.69,Negative,0.07,NA,F2
HH099_compost,STEC,NA,No Amp,1.01,Negative,0.18,NA,F3
HH099_compost,Salmonella,NA,No Amp,0.65,Negative,0.48,NA,F4
HH099_compost,Sapovirus,NA,No Amp,0.46,Negative,0.45,NA,F5
HH099_compost,Shigella,32.07,Amp,1.87,Positive,0.82,0.68,F6
HH099_compost,Sketa22,NA,No Amp,0.28,Negative,0.21,NA,G1
HH099_compost,Spiked_Extraction_Control,NA,No Amp,0.86,Negative,0.37,NA,G2
HH099_compost,Strongyloides,NA,No Amp,0.68,Negative,0.09,NA,G3
HH099_compost,Trichuris,NA,No Amp,0.29,Negative,0.01,NA,G4
HH099_compost,Vibrio cholerae,NA,No Amp,0.7,Negative,0.18,NA,G5
HH099_compost,Yersinia enterocolitica,31.04,Amp,1.43,Positive,0.81,0.41,G6
HH099_compost,blaCTX-M,NA,No Amp,0.97,Negative,0.29,NA,H1
HH099_compost,blaNDM,27.27,Amp,1.69,Positive,0.82,0.53,H2
HH099_compost,mecA,NA,No Amp,0.58,Negative,0.43,NA,H3
HH099_compost,qnrS,NA,No Amp,0.47,Negative,0.28,NA,H4
HH099_compost,sul1,NA,No Amp,0.91,Negative,0.3,NA,H5
HH099_compost,tetA,NA,No Amp,0.13,Negative,0.29,NA,H6
HH099_effluent,Adenovirus 40/41,NA,No Amp,0.98,Negative,0.38,NA,A1
HH099_effluent,Aeromonas,NA,No Amp,0.39,Negative,0.14,NA,A2
HH099_effluent,Ancylostoma,NA,No Amp,0.79,Negative,0.15,NA,A3
HH099_effluent,Ascaris,NA,No Amp,0.92,Negative,0.1,NA,A4
HH099_effluent,Astrovirus,NA,No Amp,0.97,Negative,0.26,NA,A5
HH099_effluent,BacHum,NA,No Amp,0.53,Negative,0.06,NA,A6
HH099_effluent,Bacteroides fragilis,NA,No Amp,0.24,Negative,0.16,NA,B1
HH099_effluent,Blastocystis,NA,No Amp,0.6,Negative,0.24,NA,B2
HH099_effluent,Campylobacter,NA,No Amp,0.07,Negative,0.06,NA,B3
HH099_effluent,Clostridium difficile,NA,No Amp,0.15,Negative,0.32,NA,B4
HH099_effluent,CrAssphage,26.14,Amp,1.95,Positive,0.93,0.24,B5
HH099_effluent,Cryptosporidium,22.25,Amp,1.4,Positive,0.89,0.31,B6
HH099_effluent,Cyclospora,26.76,Amp,1.57,Positive,0.84,0.16,C1
HH099_effluent,Dientamoeba fragilis,NA,No Amp,0.66,Negative,0.28,NA,C2
HH099_effluent,E. coli O157,23.34,Amp,1.82,Positive,0.92,0.37,C3
HH099_effluent,EAEC,NA,No Amp,0.47,Negative,0.05,NA,C4
HH099_effluent,EPEC,20.41,Amp,1.64,Positive,0.88,0.31,C5
HH099_effluent,ETEC,NA,No Amp,1.05,Negative,0.47,NA,C6
HH099_effluent,Entamoeba histolytica,NA,No Amp,0.66,Negative,0.37,NA,D1
HH099_effluent,Enterovirus,NA,No Amp,0.66,Negative,0.37,NA,D2
HH099_effluent,Giardia,NA,No Amp,0.56,Negative,0.25,NA,D3
HH099_effluent,HF183,27.1,Amp,1.75,Positive,1,0.69,D4
HH099_effluent,Helicobacter pylori,29.93,Amp,1.47,Positive,0.83,0.19,D5
HH099_effluent,Hepatitis A,34.71,Amp,1.54,Positive,0.81,0.78,D6
HH099_effluent,Hepatitis E,33.47,Amp,1.45,Positive,0.82,0.77,E1
HH099_effluent,Listeria monocytogenes,25.81,Amp,1.52,Positive,0.87,0.55,E2
HH099_effluent,MS2,NA,No Amp,0.63,Negative,0.14,NA,E3
HH099_effluent,Necator,NA,No Amp,0.53,Negative,0.38,NA,E4
HH099_effluent,No Template Control,NA,No Amp,0.97,Negative,0.42,NA,E5
HH099_effluent,Norovirus GI,NA,No Amp,0.34,Negative,0.38,NA,E6
HH099_effluent,Norovirus GII,25.08,Amp,1.91,Positive,0.99,0.27,F1
HH099_effluent,Rotavirus A,30.75,Amp,1.53,Positive,0.92,0.59,F2
HH099_effluent,STEC,NA,No Amp,0.28,Negative,0.46,NA,F3
HH099_effluent,Salmonella,33.63,Amp,1.98,Positive,0.96,0.11,F4
HH099_effluent,Sapovirus,NA,No Amp,0.79,Negative,0.04,NA,F5
HH099_effluent,Shigella,26.22,Amp,1.96,Positive,0.84,0.39,F6
HH099_effluent,Sketa22,34.17,Amp,1.24,Positive,0.94,0.25,G1
HH099_effluent,Spiked_Extraction_Control,NA,No Amp,0.29,Negative,0.23,NA,G2
HH099_effluent,Strongyloides,27.86,Amp,1.92,Positive,0.89,0.16,G3
HH099_effluent,Trichuris,NA,No Amp,0.78,Negative,0.49,NA,G4
HH099_effluent,Vibrio cholerae,NA,No Amp,0.63,Negative,0.2,NA,G5
HH099_effluent,Yersinia enterocolitica,NA,Inconclusive,0.53,Equivocal,0.47,NA,G6
HH099_effluent,blaCTX-M,NA,No Amp,0.45,Negative,0.29,NA,H1
HH099_effluent,blaNDM,NA,No Amp,0.12,Negative,0,NA,H2
HH099_effluent,mecA,NA,No Amp,0.55,Negative,0.22,NA,H3
HH099_effluent,qnrS,24.01,Amp,1.66,Positive,0.91,0.73,H4
HH099_effluent,sul1,22.24,Amp,1.71,Positive,0.95,0.94,H5
HH099_effluent,tetA,NA,No Amp,0.24,Negative,0.39,NA,H6
HH099_produce,Adenovirus 40/41,28.78,Amp,1.62,Positive,0.92,0.24,A1
HH099_produce,Aeromonas,30.14,Amp,1.42,Positive,0.82,0.26,A2
HH099_produce,Ancylostoma,NA,Inconclusive,0.6,Equivocal,0.19,NA,A3
HH099_produce,Ascaris,NA,No Amp,0.09,Negative,0.17,NA,A4
HH099_produce,Astrovirus,NA,No Amp,0.27,Negative,0.41,NA,A5
HH099_produce,BacHum,NA,No Amp,0.67,Negative,0.01,NA,A6
HH099_produce,Bacteroides fragilis,NA,No Amp,0.56,Negative,0.41,NA,B1
HH099_produce,Blastocystis,NA,Inconclusive,0.91,Equivocal,0.21,NA,B2
HH099_produce,Campylobacter,31.68,Amp,1.42,Positive,0.97,1,B3
HH099_produce,Clostridium difficile,32.27,Amp,1.55,Positive,0.95,0.93,B4
HH099_produce,CrAssphage,NA,Inconclusive,0.16,Equivocal,0.27,NA,B5
HH099_produce,Cryptosporidium,25.6,Amp,1.88,Positive,0.92,0.7,B6
