Sample,Target,Cq,AMP,Amp Score,Result,Cq Conf,Cq SD,Well
HH036_compost,Adenovirus 40/41,NA,No Amp,0.38,Negative,0.16,NA,A1
HH036_compost,Aeromonas,NA,No Amp,0.09,Negative,0.48,NA,A2
HH036_compost,Ancylostoma,NA,No Amp,0.01,Negative,0.43,NA,A3
HH036_compost,Ascaris,NA,No Amp,0.95,Negative,0.4,NA,A4
HH036_compost,Astrovirus,27.75,Amp,1.69,Positive,0.87,0.29,A5
HH036_compost,BacHum,NA,No Amp,0.6,Negative,0.41,NA,A6
HH036_compost,Bacteroides fragilis,NA,Inconclusive,0.92,Equivocal,0.32,NA,B1
HH036_compost,Blastocystis,NA,No Amp,0.32,Negative,0.49,NA,B2
HH036_compost,Campylobacter,NA,No Amp,0.97,Negative,0.22,NA,B3
HH036_compost,Clostridium difficile,31.13,Amp,1.74,Positive,0.91,0.63,B4
HH036_compost,CrAssphage,24.47,Amp,1.89,Positive,1,0.78,B5
HH036_compost,Cryptosporidium,23.8,Amp,1.66,Positive,0.85,0.28,B6
HH036_compost,Cyclospora,NA,No Amp,0.74,Negative,0.19,NA,C1
HH036_compost,Dientamoeba fragilis,NA,No Amp,0.32,Negative,0.34,NA,C2
HH036_compost,E. coli O157,29.66,Amp,1.9,Positive,0.85,0.27,C3
HH036_compost,EAEC,NA,Inconclusive,0.53,Equivocal,0.1,NA,C4
HH036_compost,EPEC,25,Amp,1.38,Positive,0.93,0.21,C5
HH036_compost,ETEC,NA,No Amp,0.61,Negative,0.38,NA,C6
HH036_compost,Entamoeba histolytica,NA,No Amp,0.17,Negative,0.25,NA,D1
HH036_compost,Enterovirus,NA,No Amp,0.79,Negative,0.36,NA,D2
HH036_compost,Giardia,32.18,Amp,1.62,Positive,0.88,0.38,D3
HH036_compost,HF183,NA,No Amp,0.49,Negative,0.37,NA,D4
HH036_compost,Helicobacter pylori,NA,No Amp,0.79,Negative,0.15,NA,D5
HH036_compost,Hepatitis A,NA,No Amp,0.74,Negative,0.5,NA,D6
HH036_compost,Hepatitis E,NA,No Amp,0.18,Negative,0.03,NA,E1
HH036_compost,Listeria monocytogenes,NA,No Amp,1.06,Negative,0.08,NA,E2
HH036_compost,MS2,NA,No Amp,0.75,Negative,0.3,NA,E3
HH036_compost,Necator,NA,Inconclusive,0.87,Equivocal,0.13,NA,E4
HH036_compost,No Template Control,32.45,Amp,1.59,Positive,0.92,0.71,E5
HH036_compost,Norovirus GI,22.81,Amp,1.65,Positive,0.92,0.91,E6
HH036_compost,Norovirus GII,30.81,Amp,1.38,Positive,0.9,0.55,F1
HH036_compost,Rotavirus A,NA,No Amp,0.57,Negative,0.06,NA,F2
HH036_compost,STEC,NA,No Amp,0.03,Negative,0.48,NA,F3
HH036_compost,Salmonella,NA,No Amp,0.43,Negative,0.18,NA,F4
HH036_compost,Sapovirus,NA,No Amp,1.04,Negative,0.4,NA,F5
HH036_compost,Shigella,NA,No Amp,0.47,Negative,0.01,NA,F6
HH036_compost,Sketa22,NA,No Amp,0.53,Negative,0.01,NA,G1
HH036_compost,Spiked_Extraction_Control,NA,Inconclusive,0.56,Equivocal,0.24,NA,G2
HH036_compost,Strongyloides,NA,Inconclusive,0.03,Equivocal,0.18,NA,G3
HH036_compost,Trichuris,29.42,Amp,1.28,Positive,0.86,0.14,G4
HH036_compost,Vibrio cholerae,NA,No Amp,0.36,Negative,0.21,NA,G5
HH036_compost,Yersinia enterocolitica,26.46,Amp,1.36,Positive,0.9,0.81,G6
HH036_compost,blaCTX-M,21.71,Amp,1.55,Positive,0.9,0.67,H1
HH036_compost,blaNDM,NA,Inconclusive,0.84,Equivocal,0.48,NA,H2
HH036_compost,mecA,NA,Inconclusive,0.27,Equivocal,0.29,NA,H3
HH036_compost,qnrS,NA,No Amp,0.55,Negative,0.42,NA,H4
HH036_compost,sul1,NA,No Amp,0.46,Negative,0.19,NA,H5
HH036_compost,tetA,34.72,Amp,1.57,Positive,0.92,0.76,H6
HH036_effluent,Adenovirus 40/41,NA,No Amp,1.03,Negative,0.33,NA,A1
HH036_effluent,Aeromonas,NA,No Amp,0.48,Negative,0.47,NA,A2
HH036_effluent,Ancylostoma,33.33,Amp,1.41,Positive,0.88,0.77,A3
HH036_effluent,Ascaris,NA,No Amp,0.63,Negative,0.39,NA,A4
HH036_effluent,Astrovirus,33.22,Amp,1.75,Positive,0.91,0.65,A5
HH036_effluent,BacHum,28.36,Amp,1.59,Positive,0.89,0.1,A6
HH036_effluent,Bacteroides fragilis,NA,No Amp,0.43,Negative,0.18,NA,B1
HH036_effluent,Blastocystis,33.48,Amp,1.52,Positive,0.82,1,B2
HH036_effluent,Campylobacter,NA,No Amp,0.56,Negative,0.18,NA,B3
HH036_effluent,Clostridium difficile,30.19,Amp,1.51,Positive,0.93,0.92,B4
HH036_effluent,CrAssphage,NA,No Amp,1.05,Negative,0.37,NA,B5
HH036_effluent,Cryptosporidium,NA,Inconclusive,0.22,Equivocal,0.07,NA,B6
HH036_effluent,Cyclospora,25.78,Amp,1.25,Positive,0.87,0.35,C1
HH036_effluent,Dientamoeba fragilis,NA,No Amp,0.42,Negative,0,NA,C2
HH036_effluent,E. coli O157,27.71,Amp,1.94,Positive,0.88,0.36,C3
HH036_effluent,EAEC,NA,No Amp,0.82,Negative,0.42,NA,C4
HH036_effluent,EPEC,NA,No Amp,0.87,Negative,0.5,NA,C5
HH036_effluent,ETEC,25.22,Amp,1.99,Positive,0.94,0.89,C6
HH036_effluent,Entamoeba histolytica,NA,No Amp,0.98,Negative,0.13,NA,D1
HH036_effluent,Enterovirus,NA,No Amp,0.1,Negative,0.06,NA,D2
HH036_effluent,Giardia,28.14,Amp,1.59,Positive,0.85,0.99,D3
HH036_effluent,HF183,NA,No Amp,0.68,Negative,0.49,NA,D4
HH036_effluent,Helicobacter pylori,25.24,Amp,1.61,Positive,0.91,0.81,D5
HH036_effluent,Hepatitis A,29.35,Amp,1.23,Positive,0.92,0.51,D6
HH036_effluent,Hepatitis E,NA,No Amp,1.1,Negative,0.15,NA,E1
HH036_effluent,Listeria monocytogenes,33.89,Amp,1.33,Positive,0.88,0.92,E2
HH036_effluent,MS2,NA,No Amp,0.34,Negative,0.36,NA,E3
HH036_effluent,Necator,NA,Inconclusive,0.9,Equivocal,0.4,NA,E4
HH036_effluent,No Template Control,NA,No Amp,0.01,Negative,0.42,NA,E5
HH036_effluent,Norovirus GI,26.51,Amp,1.63,Positive,0.91,0.44,E6
HH036_effluent,Norovirus GII,NA,No Amp,0.3,Negative,0.41,NA,F1
HH036_effluent,Rotavirus A,NA,No Amp,0.48,Negative,0.01,NA,F2
HH036_effluent,STEC,29.85,Amp,1.72,Positive,0.99,0.86,F3
HH036_effluent,Salmonella,NA,Inconclusive,0.66,Equivocal,0.01,NA,F4
HH036_effluent,Sapovirus,NA,No Amp,0.3,Negative,0.5,NA,F5
HH036_effluent,Shigella,NA,No Amp,0.08,Negative,0.38,NA,F6
HH036_effluent,Sketa22,29.09,Amp,1.3,Positive,0.82,0.93,G1
HH036_effluent,Spiked_Extraction_Control,NA,No Amp,0.09,Negative,0.28,NA,G2
HH036_effluent,Strongyloides,NA,Inconclusive,0.93,Equivocal,0.34,NA,G3
HH036_effluent,Trichuris,NA,No Amp,0.81,Negative,0.23,NA,G4
HH036_effluent,Vibrio cholerae,NA,No Amp,1.03,Negative,0.21,NA,G5
HH036_effluent,Yersinia enterocolitica,NA,No Amp,0.45,Negative,0.14,NA,G6
HH036_effluent,blaCTX-M,NA,No Amp,0.53,Negative,0.43,NA,H1
HH036_effluent,blaNDM,NA,No Amp,0.34,Negative,0.29,NA,H2
HH036_effluent,mecA,30.37,Amp,1.82,Positive,0.99,0.91,H3
HH036_effluent,qnrS,NA,No Amp,0.47,Negative,0.03,NA,H4
HH036_effluent,sul1,NA,No Amp,0.56,Negative,0.17,NA,H5
HH036_effluent,tetA,32.82,Amp,1.41,Positive,0.97,0.31,H6
HH036_produce,Adenovirus 40/41,NA,Inconclusive,0.2,Equivocal,0.19,NA,A1
HH036_produce,Aeromonas,NA,No Amp,0.37,Negative,0.16,NA,A2
HH036_produce,Ancylostoma,NA,No Amp,0.91,Negative,0.09,NA,A3
HH036_produce,Ascaris,33.79,Amp,1.57,Positive,1,0.81,A4
HH036_produce,Astrovirus,NA,No Amp,0.81,Negative,0.01,NA,A5
HH036_produce,BacHum,NA,No Amp,0.46,Negative,0.18,NA,A6
HH036_produce,Bacteroides fragilis,31.17,Amp,1.94,Positive,0.93,0.27,B1
HH036_produce,Blastocystis,33.49,Amp,1.27,Positive,0.92,0.88,B2
HH036_produce,Campylobacter,30.67,Amp,1.95,Positive,0.88,0.51,B3
HH036_produce,Clostridium difficile,NA,No Amp,0.48,Negative,0.13,NA,B4
HH036_produce,CrAssphage,NA,No Amp,1.04,Negative,0.18,NA,B5
HH036_produce,Cryptosporidium,NA,No Amp,0.32,Negative,0.36,NA,B6
HH036_produce,Cyclospora,NA,No Amp,1.09,Negative,0.41,NA,C1
HH036_produce,Dientamoeba fragilis,NA,No Amp,0.82,Negative,0.15,NA,C2
HH036_produce,E. coli O157,NA,No Amp,0.12,Negative,0.01,NA,C3
HH036_produce,EAEC,31.26,Amp,1.97,Positive,0.99,0.58,C4
HH036_produce,EPEC,NA,No Amp,0.56,Negative,0.19,NA,C5
HH036_produce,ETEC,NA,No Amp,0.09,Negative,0.29,NA,C6
HH036_produce,Entamoeba histolytica,NA,No Amp,0.14,Negative,0.36,NA,D1
HH036_produce,Enterovirus,NA,No Amp,0.16,Negative,0.12,NA,D2
HH036_produce,Giardia,31.39,Amp,1.4,Positive,0.8,0.51,D3
HH036_produce,HF183,NA,Inconclusive,0.84,Equivocal,0.28,NA,D4
HH036_produce,Helicobacter pylori,NA,No Amp,0.61,Negative,0.36,NA,D5
HH036_produce,Hepatitis A,27.96,Amp,1.59,Positive,0.85,0.98,D6
HH036_produce,Hepatitis E,33.06,Amp,1.88,Positive,0.99,0.93,E1
HH036_produce,Listeria monocytogenes,NA,No Amp,0.58,Negative,0.06,NA,E2
HH036_produce,MS2,NA,Inconclusive,0.59,Equivocal,0.19,NA,E3
HH036_produce,Necator,NA,No Amp,1.06,Negative,0.44,NA,E4
HH036_produce,No Template Control,NA,No Amp,0.66,Negative,0.22,NA,E5
HH036_produce,Norovirus GI,NA,No Amp,0.85,Negative,0.43,NA,E6
HH036_produce,Norovirus GII,NA,No Amp,0.31,Negative,0.2,NA,F1
HH036_produce,Rotavirus A,27.14,Amp,1.49,Positive,0.82,0.68,F2
HH036_produce,STEC,NA,No Amp,0.27,Negative,0.03,NA,F3
HH036_produce,Salmonella,NA,No Amp,0.75,Negative,0.21,NA,F4
HH036_produce,Sapovirus,NA,No Amp,0.2,Negative,0.43,NA,F5
HH036_produce,Shigella,27.34,Amp,1.48,Positive,0.8,0.62,F6
HH036_produce,Sketa22,30.65,Amp,1.43,Positive,0.89,0.49,G1
