Sample,Target,Cq,AMP,Amp Score,Result,Cq Conf,Cq SD,Well
HH054_produce,Adenovirus 40/41,NA,No Amp,0.13,Negative,0.2,NA,A1
HH054_produce,Aeromonas,NA,No Amp,0.75,Negative,0.37,NA,A2
HH054_produce,Ancylostoma,NA,No Amp,0.43,Negative,0.19,NA,A3
HH054_produce,Ascaris,NA,No Amp,0.79,Negative,0.31,NA,A4
HH054_produce,Astrovirus,NA,No Amp,0.74,Negative,0.06,NA,A5
HH054_produce,BacHum,NA,No Amp,0.94,Negative,0.14,NA,A6
HH054_produce,Bacteroides fragilis,NA,No Amp,0.59,Negative,0.26,NA,B1
HH054_produce,Blastocystis,NA,No Amp,0.9,Negative,0.49,NA,B2
HH054_produce,Campylobacter,NA,No Amp,0.83,Negative,0.09,NA,B3
HH054_produce,Clostridium difficile,NA,No Amp,0.2,Negative,0.21,NA,B4
HH054_produce,CrAssphage,32.96,Amp,1.28,Positive,0.84,0.63,B5
HH054_produce,Cryptosporidium,23.56,Amp,1.32,Positive,0.92,0.6,B6
HH054_produce,Cyclospora,NA,No Amp,1.08,Negative,0.34,NA,C1
HH054_produce,Dientamoeba fragilis,NA,Inconclusive,0.38,Equivocal,0.11,NA,C2
HH054_produce,E. coli O157,NA,No Amp,0.28,Negative,0.46,NA,C3
HH054_produce,EAEC,23.29,Amp,1.79,Positive,0.96,0.29,C4
HH054_produce,EPEC,29.53,Amp,1.73,Positive,0.92,0.41,C5
HH054_produce,ETEC,NA,No Amp,0.51,Negative,0.46,NA,C6
HH054_produce,Entamoeba histolytica,NA,No Amp,0.18,Negative,0.16,NA,D1
HH054_produce,Enterovirus,NA,No Amp,0.61,Negative,0.09,NA,D2
HH054_produce,Giardia,27.47,Amp,1.49,Positive,0.83,0.28,D3
HH054_produce,HF183,NA,No Amp,0.69,Negative,0.22,NA,D4
HH054_produce,Helicobacter pylori,NA,No Amp,0.34,Negative,0.09,NA,D5
HH054_produce,Hepatitis A,NA,No Amp,0.95,Negative,0.48,NA,D6
HH054_produce,Hepatitis E,NA,No Amp,0.02,Negative,0.22,NA,E1
HH054_produce,Listeria monocytogenes,NA,No Amp,0.18,Negative,0.4,NA,E2
HH054_produce,MS2,NA,No Amp,0.9,Negative,0.08,NA,E3
HH054_produce,Necator,NA,No Amp,0.62,Negative,0.33,NA,E4
HH054_produce,No Template Control,NA,No Amp,0.22,Negative,0.21,NA,E5
HH054_produce,Norovirus GI,NA,Inconclusive,0.86,Equivocal,0.4,NA,E6
HH054_produce,Norovirus GII,NA,No Amp,0.2,Negative,0.26,NA,F1
HH054_produce,Rotavirus A,25.72,Amp,1.7,Positive,0.98,0.78,F2
HH054_produce,STEC,NA,Inconclusive,0.92,Equivocal,0.37,NA,F3
HH054_produce,Salmonella,NA,No Amp,0.21,Negative,0.14,NA,F4
HH054_produce,Sapovirus,NA,No Amp,0.19,Negative,0.23,NA,F5
HH054_produce,Shigella,29.34,Amp,1.68,Positive,0.9,0.26,F6
HH054_produce,Sketa22,NA,No Amp,0.78,Negative,0.12,NA,G1
HH054_produce,Spiked_Extraction_Control,27.46,Amp,1.4,Positive,0.82,0.6,G2
HH054_produce,Strongyloides,NA,Inconclusive,0.39,Equivocal,0.49,NA,G3
HH054_produce,Trichuris,28.59,Amp,1.66,Positive,0.93,0.66,G4
