Sample,Target,Cq,AMP,Amp Score,Result,Cq Conf,Cq SD,Well
HH057_compost,Adenovirus 40/41,30.92,Amp,1.54,Positive,0.92,0.48,A1
HH057_compost,Aeromonas,NA,No Amp,0.29,Negative,0.46,NA,A2
HH057_compost,Ancylostoma,30.03,Amp,1.5,Positive,0.98,0.51,A3
HH057_compost,Ascaris,NA,No Amp,0.32,Negative,0.26,NA,A4
HH057_compost,Astrovirus,30.28,Amp,1.92,Positive,0.98,0.63,A5
HH057_compost,BacHum,24.06,Amp,1.46,Positive,0.97,0.71,A6
HH057_compost,Bacteroides fragilis,NA,No Amp,0.17,Negative,0.41,NA,B1
HH057_compost,Blastocystis,NA,Inconclusive,0.98,Equivocal,0.43,NA,B2
HH057_compost,Campylobacter,27.41,Amp,1.23,Positive,0.86,0.55,B3
HH057_compost,Clostridium difficile,NA,No Amp,0.8,Negative,0.16,NA,B4
HH057_compost,CrAssphage,NA,No Amp,0.89,Negative,0.29,NA,B5
HH057_compost,Cryptosporidium,NA,No Amp,0.71,Negative,0.45,NA,B6
HH057_compost,Cyclospora,NA,No Amp,0.13,Negative,0.38,NA,C1
HH057_compost,Dientamoeba fragilis,NA,No Amp,0.1,Negative,0,NA,C2
HH057_compost,E. coli O157,27.86,Amp,1.73,Positive,0.88,0.4,C3
HH057_compost,EAEC,NA,No Amp,0.41,Negative,0.06,NA,C4
HH057_compost,EPEC,33.03,Amp,1.36,Positive,0.89,0.23,C5
HH057_compost,ETEC,29.05,Amp,1.95,Positive,0.84,0.35,C6
HH057_compost,Entamoeba histolytica,32.63,Amp,1.74,Positive,0.98,0.67,D1
HH057_compost,Enterovirus,NA,No Amp,0.3,Negative,0.29,NA,D2
HH057_compost,Giardia,NA,No Amp,0.36,Negative,0.23,NA,D3
HH057_compost,HF183,23.73,Amp,1.65,Positive,0.89,0.72,D4
HH057_compost,Helicobacter pylori,28.08,Amp,1.67,Positive,0.98,0.5,D5
HH057_compost,Hepatitis A,NA,No Amp,0.77,Negative,0.49,NA,D6
HH057_compost,Hepatitis E,NA,No Amp,1.04,Negative,0.23,NA,E1
HH057_compost,Listeria monocytogenes,NA,No Amp,0.01,Negative,0,NA,E2
HH057_compost,MS2,21.5,Amp,1.83,Positive,0.93,0.2,E3
HH057_compost,Necator,NA,No Amp,0.4,Negative,0.32,NA,E4
HH057_compost,No Template Control,NA,No Amp,1,Negative,0,NA,E5
HH057_compost,Norovirus GI,NA,No Amp,0.86,Negative,0.12,NA,E6
HH057_compost,Norovirus GII,NA,No Amp,0.89,Negative,0.24,NA,F1
HH057_compost,Rotavirus A,NA,No Amp,0.35,Negative,0.47,NA,F2
HH057_compost,STEC,NA,No Amp,0.2,Negative,0.29,NA,F3
HH057_compost,Salmonella,NA,No Amp,0.03,Negative,0.09,NA,F4
HH057_compost,Sapovirus,NA,No Amp,0.43,Negative,0.29,NA,F5
HH057_compost,Shigella,NA,No Amp,0.23,Negative,0.19,NA,F6
HH057_compost,Sketa22,NA,No Amp,0.53,Negative,0.24,NA,G1
HH057_compost,Spiked_Extraction_Control,31.05,Amp,1.95,Positive,0.99,0.33,G2
HH057_compost,Strongyloides,NA,No Amp,0.57,Negative,0.32,NA,G3
HH057_compost,Trichuris,NA,No Amp,0.73,Negative,0.29,NA,G4
HH057_compost,Vibrio cholerae,NA,No Amp,0.81,Negative,0.25,NA,G5
HH057_compost,Yersinia enterocolitica,NA,No Amp,0.95,Negative,0.36,NA,G6
HH057_compost,blaCTX-M,NA,No Amp,0.12,Negative,0.22,NA,H1
