Sample,Target,Cq,AMP,Amp Score,Result,Cq Conf,Cq SD,Well
HH008_compost,Adenovirus 40/41,NA,No Amp,0.57,Negative,0.03,NA,A1
HH008_compost,Aeromonas,30.15,Amp,1.97,Positive,0.87,0.18,A2
HH008_compost,Ancylostoma,NA,No Amp,0.43,Negative,0.17,NA,A3
HH008_compost,Ascaris,20.56,Amp,1.85,Positive,0.81,0.57,A4
HH008_compost,Astrovirus,NA,No Amp,0.67,Negative,0.09,NA,A5
HH008_compost,BacHum,NA,No Amp,0.38,Negative,0.16,NA,A6
HH008_compost,Bacteroides fragilis,30.15,Amp,1.45,Positive,0.96,0.78,B1
HH008_compost,Blastocystis,NA,No Amp,0.97,Negative,0.46,NA,B2
HH008_compost,Campylobacter,23.31,Amp,1.49,Positive,0.98,0.42,B3
HH008_compost,Clostridium difficile,NA,No Amp,0.31,Negative,0,NA,B4
HH008_compost,CrAssphage,NA,No Amp,0.95,Negative,0.45,NA,B5
HH008_compost,Cryptosporidium,NA,No Amp,1.04,Negative,0.15,NA,B6
HH008_compost,Cyclospora,NA,No Amp,0.08,Negative,0.19,NA,C1
HH008_compost,Dientamoeba fragilis,NA,No Amp,0.54,Negative,0.07,NA,C2
HH008_compost,E. coli O157,NA,No Amp,0.74,Negative,0.4,NA,C3
HH008_compost,EAEC,NA,No Amp,0.96,Negative,0.13,NA,C4
HH008_compost,EPEC,NA,Inconclusive,0.96,Equivocal,0.13,NA,C5
HH008_compost,ETEC,21.56,Amp,1.88,Positive,0.89,0.96,C6
HH008_compost,Entamoeba histolytica,30.35,Amp,1.32,Positive,0.87,0.13,D1
HH008_compost,Enterovirus,NA,No Amp,0.19,Negative,0.28,NA,D2
HH008_compost,Giardia,26.27,Amp,1.73,Positive,0.85,0.58,D3
HH008_compost,HF183,NA,No Amp,0.47,Negative,0.18,NA,D4
HH008_compost,Helicobacter pylori,NA,No Amp,0.27,Negative,0.17,NA,D5
HH008_compost,Hepatitis A,24.86,Amp,1.39,Positive,0.98,0.73,D6
HH008_compost,Hepatitis E,NA,No Amp,0.48,Negative,0.36,NA,E1
HH008_compost,Listeria monocytogenes,NA,No Amp,0.97,Negative,0.18,NA,E2
HH008_compost,MS2,NA,No Amp,0.87,Negative,0.33,NA,E3
HH008_compost,Necator,NA,No Amp,0.65,Negative,0.36,NA,E4
HH008_compost,No Template Control,NA,No Amp,1,Negative,0.41,NA,E5
HH008_compost,Norovirus GI,NA,No Amp,0.95,Negative,0.22,NA,E6
HH008_compost,Norovirus GII,NA,No Amp,0.52,Negative,0.04,NA,F1
HH008_compost,Rotavirus A,NA,Inconclusive,0.15,Equivocal,0.25,NA,F2
HH008_compost,STEC,24.73,Amp,1.76,Positive,0.82,0.69,F3
HH008_compost,Salmonella,NA,No Amp,0.08,Negative,0.33,NA,F4
HH008_compost,Sapovirus,NA,No Amp,0.05,Negative,0.17,NA,F5
HH008_compost,Shigella,NA,No Amp,0.05,Negative,0.03,NA,F6
HH008_compost,Sketa22,30.04,Amp,1.32,Positive,0.92,0.82,G1
HH008_compost,Spiked_Extraction_Control,NA,No Amp,0.32,Negative,0.39,NA,G2
HH008_compost,Strongyloides,NA,No Amp,0.08,Negative,0.41,NA,G3
HH008_compost,Trichuris,NA,No Amp,0,Negative,0.4,NA,G4
HH008_compost,Vibrio cholerae,NA,No Amp,0.64,Negative,0.09,NA,G5
HH008_compost,Yersinia enterocolitica,NA,No Amp,0.22,Negative,0.3,NA,G6
HH008_compost,blaCTX-M,NA,No Amp,0.86,Negative,0.38,NA,H1
HH008_compost,blaNDM,NA,No Amp,0.71,Negative,0.18,NA,H2
HH008_compost,mecA,29.33,Amp,1.58,Positive,0.85,0.9,H3
HH008_compost,qnrS,24.29,Amp,1.39,Positive,0.93,0.75,H4
HH008_compost,sul1,NA,No Amp,1.08,Negative,0.27,NA,H5
HH008_compost,tetA,NA,No Amp,0.46,Negative,0.03,NA,H6
HH008_effluent,Adenovirus 40/41,26.93,Amp,1.53,Positive,0.97,0.73,A1
HH008_effluent,Aeromonas,NA,No Amp,1.04,Negative,0.33,NA,A2
HH008_effluent,Ancylostoma,NA,No Amp,0.12,Negative,0.39,NA,A3
HH008_effluent,Ascaris,NA,Inconclusive,0.54,Equivocal,0.31,NA,A4
HH008_effluent,Astrovirus,NA,No Amp,0.79,Negative,0.35,NA,A5
HH008_effluent,BacHum,NA,No Amp,0.77,Negative,0.27,NA,A6
HH008_effluent,Bacteroides fragilis,NA,No Amp,1.03,Negative,0.02,NA,B1
HH008_effluent,Blastocystis,NA,No Amp,0.9,Negative,0.34,NA,B2
HH008_effluent,Campylobacter,31.3,Amp,1.51,Positive,0.98,0.16,B3
HH008_effluent,Clostridium difficile,NA,No Amp,0.63,Negative,0.29,NA,B4
HH008_effluent,CrAssphage,NA,No Amp,0.05,Negative,0.49,NA,B5
HH008_effluent,Cryptosporidium,NA,No Amp,0.55,Negative,0.3,NA,B6
HH008_effluent,Cyclospora,NA,No Amp,0.49,Negative,0.49,NA,C1
HH008_effluent,Dientamoeba fragilis,28.87,Amp,1.96,Positive,0.8,0.73,C2
HH008_effluent,E. coli O157,NA,No Amp,0.39,Negative,0.39,NA,C3
HH008_effluent,EAEC,NA,No Amp,0.91,Negative,0.02,NA,C4
HH008_effluent,EPEC,29.68,Amp,1.98,Positive,0.86,0.89,C5
HH008_effluent,ETEC,22.58,Amp,1.57,Positive,0.87,0.79,C6
HH008_effluent,Entamoeba histolytica,NA,No Amp,0.4,Negative,0.19,NA,D1
HH008_effluent,Enterovirus,NA,No Amp,0.71,Negative,0.32,NA,D2
HH008_effluent,Giardia,NA,No Amp,0.32,Negative,0.1,NA,D3
HH008_effluent,HF183,22.11,Amp,1.26,Positive,0.88,0.66,D4
HH008_effluent,Helicobacter pylori,NA,No Amp,0.92,Negative,0.06,NA,D5
HH008_effluent,Hepatitis A,NA,No Amp,0.17,Negative,0.22,NA,D6
HH008_effluent,Hepatitis E,22.07,Amp,1.63,Positive,0.81,0.6,E1
HH008_effluent,Listeria monocytogenes,31.21,Amp,1.98,Positive,0.88,0.45,E2
HH008_effluent,MS2,NA,No Amp,0.61,Negative,0.01,NA,E3
HH008_effluent,Necator,30.08,Amp,1.23,Positive,0.84,0.92,E4
HH008_effluent,No Template Control,NA,No Amp,0.24,Negative,0.02,NA,E5
HH008_effluent,Norovirus GI,NA,No Amp,0.89,Negative,0.12,NA,E6
HH008_effluent,Norovirus GII,NA,No Amp,0.77,Negative,0.25,NA,F1
