Sample,Target,Cq,AMP,Amp Score,Result,Cq Conf,Cq SD,Well
HH092_compost,Adenovirus 40/41,NA,No Amp,0.47,Negative,0.21,NA,A1
HH092_compost,Aeromonas,NA,No Amp,0.33,Negative,0.32,NA,A2
HH092_compost,Ancylostoma,NA,No Amp,0.81,Negative,0.15,NA,A3
HH092_compost,Ascaris,NA,No Amp,0.77,Negative,0.12,NA,A4
HH092_compost,Astrovirus,NA,No Amp,0.69,Negative,0.25,NA,A5
HH092_compost,BacHum,NA,No Amp,0.86,Negative,0.34,NA,A6
HH092_compost,Bacteroides fragilis,NA,No Amp,0.61,Negative,0.19,NA,B1
HH092_compost,Blastocystis,27.42,Amp,1.44,Positive,0.87,0.3,B2
HH092_compost,Campylobacter,NA,No Amp,0.77,Negative,0.24,NA,B3
HH092_compost,Clostridium difficile,NA,Inconclusive,0.62,Equivocal,0.3,NA,B4
HH092_compost,CrAssphage,26.81,Amp,1.31,Positive,0.94,0.73,B5
HH092_compost,Cryptosporidium,NA,No Amp,0.64,Negative,0.33,NA,B6
HH092_compost,Cyclospora,NA,No Amp,0.48,Negative,0.26,NA,C1
HH092_compost,Dientamoeba fragilis,NA,No Amp,0.92,Negative,0.25,NA,C2
HH092_compost,E. coli O157,31.06,Amp,1.87,Positive,0.84,0.49,C3
HH092_compost,EAEC,NA,No Amp,0.83,Negative,0.48,NA,C4
HH092_compost,EPEC,NA,Inconclusive,0.49,Equivocal,0.43,NA,C5
HH092_compost,ETEC,NA,No Amp,0.06,Negative,0.44,NA,C6
HH092_compost,Entamoeba histolytica,NA,No Amp,0.05,Negative,0.26,NA,D1
HH092_compost,Enterovirus,NA,No Amp,0.27,Negative,0.38,NA,D2
HH092_compost,Giardia,NA,No Amp,0.41,Negative,0.45,NA,D3
HH092_compost,HF183,NA,No Amp,0.26,Negative,0.37,NA,D4
HH092_compost,Helicobacter pylori,NA,No Amp,0.43,Negative,0.15,NA,D5
HH092_compost,Hepatitis A,33.98,Amp,1.65,Positive,0.9,0.86,D6
HH092_compost,Hepatitis E,28.69,Amp,1.44,Positive,0.97,0.97,E1
HH092_compost,Listeria monocytogenes,NA,No Amp,0.47,Negative,0.03,NA,E2
HH092_compost,MS2,NA,No Amp,0.89,Negative,0.43,NA,E3
HH092_compost,Necator,32.92,Amp,1.37,Positive,0.87,0.59,E4
HH092_compost,No Template Control,28.72,Amp,1.36,Positive,0.92,0.97,E5
HH092_compost,Norovirus GI,27.98,Amp,1.75,Positive,0.88,0.25,E6
HH092_compost,Norovirus GII,NA,No Amp,1.08,Negative,0.42,NA,F1
HH092_compost,Rotavirus A,NA,Inconclusive,0.08,Equivocal,0.23,NA,F2
HH092_compost,STEC,22.56,Amp,1.56,Positive,0.94,0.62,F3
HH092_compost,Salmonella,NA,No Amp,0.29,Negative,0.46,NA,F4
HH092_compost,Sapovirus,NA,No Amp,1.08,Negative,0.17,NA,F5
HH092_compost,Shigella,NA,No Amp,0.55,Negative,0.19,NA,F6
HH092_compost,Sketa22,23.01,Amp,1.96,Positive,0.84,0.25,G1
HH092_compost,Spiked_Extraction_Control,22.41,Amp,1.45,Positive,0.93,0.44,G2
HH092_compost,Strongyloides,NA,No Amp,0.72,Negative,0.1,NA,G3
HH092_compost,Trichuris,NA,No Amp,0.79,Negative,0.16,NA,G4
HH092_compost,Vibrio cholerae,NA,No Amp,0.99,Negative,0.33,NA,G5
HH092_compost,Yersinia enterocolitica,NA,No Amp,0.76,Negative,0.04,NA,G6
HH092_compost,blaCTX-M,NA,Inconclusive,0.29,Equivocal,0.36,NA,H1
HH092_compost,blaNDM,NA,No Amp,0.98,Negative,0.08,NA,H2
HH092_compost,mecA,NA,No Amp,0.21,Negative,0.41,NA,H3
HH092_compost,qnrS,20.15,Amp,1.21,Positive,0.83,0.18,H4
HH092_compost,sul1,NA,No Amp,0.3,Negative,0.14,NA,H5
HH092_compost,tetA,NA,No Amp,0.98,Negative,0.15,NA,H6
HH092_effluent,Adenovirus 40/41,NA,No Amp,0.66,Negative,0.22,NA,A1
HH092_effluent,Aeromonas,NA,No Amp,0.45,Negative,0.12,NA,A2
HH092_effluent,Ancylostoma,27.93,Amp,1.71,Positive,0.85,0.13,A3
HH092_effluent,Ascaris,NA,No Amp,0.48,Negative,0.42,NA,A4
HH092_effluent,Astrovirus,31.8,Amp,1.75,Positive,0.95,0.59,A5
HH092_effluent,BacHum,NA,No Amp,0.59,Negative,0.33,NA,A6
HH092_effluent,Bacteroides fragilis,23.9,Amp,1.97,Positive,0.81,0.17,B1
HH092_effluent,Blastocystis,NA,No Amp,0.69,Negative,0.16,NA,B2
HH092_effluent,Campylobacter,23.12,Amp,1.31,Positive,0.81,0.4,B3
HH092_effluent,Clostridium difficile,NA,No Amp,0.38,Negative,0.22,NA,B4
HH092_effluent,CrAssphage,NA,No Amp,0.94,Negative,0.14,NA,B5
HH092_effluent,Cryptosporidium,31.62,Amp,1.33,Positive,1,0.25,B6
HH092_effluent,Cyclospora,NA,No Amp,0.25,Negative,0.34,NA,C1
HH092_effluent,Dientamoeba fragilis,NA,No Amp,1.03,Negative,0.36,NA,C2
HH092_effluent,E. coli O157,NA,Inconclusive,0.98,Equivocal,0.13,NA,C3
HH092_effluent,EAEC,NA,No Amp,0.17,Negative,0.03,NA,C4
HH092_effluent,EPEC,NA,No Amp,0.63,Negative,0.4,NA,C5
HH092_effluent,ETEC,22.15,Amp,1.58,Positive,0.97,0.41,C6
HH092_effluent,Entamoeba histolytica,NA,No Amp,0.3,Negative,0.25,NA,D1
HH092_effluent,Enterovirus,20.69,Amp,1.49,Positive,0.9,0.28,D2
HH092_effluent,Giardia,NA,No Amp,0.99,Negative,0.41,NA,D3
HH092_effluent,HF183,NA,No Amp,0.84,Negative,0.49,NA,D4
HH092_effluent,Helicobacter pylori,NA,No Amp,0.19,Negative,0.06,NA,D5
HH092_effluent,Hepatitis A,NA,No Amp,0.11,Negative,0.31,NA,D6
HH092_effluent,Hepatitis E,NA,No Amp,0.52,Negative,0.16,NA,E1
HH092_effluent,Listeria monocytogenes,NA,No Amp,0.08,Negative,0.25,NA,E2
HH092_effluent,MS2,33.5,Amp,1.2,Positive,0.97,0.57,E3
HH092_effluent,Necator,NA,No Amp,0.78,Negative,0.08,NA,E4
HH092_effluent,No Template Control,NA,No Amp,0.5,Negative,0.22,NA,E5
HH092_effluent,Norovirus GI,NA,No Amp,0.43,Negative,0.26,NA,E6
HH092_effluent,Norovirus GII,NA,Inconclusive,1.08,Equivocal,0.15,NA,F1
HH092_effluent,Rotavirus A,NA,Inconclusive,0.61,Equivocal,0.34,NA,F2
HH092_effluent,STEC,NA,No Amp,0.6,Negative,0.23,NA,F3
HH092_effluent,Salmonella,33.09,Amp,1.9,Positive,0.98,0.98,F4
HH092_effluent,Sapovirus,NA,No Amp,0.34,Negative,0.07,NA,F5
HH092_effluent,Shigella,NA,Inconclusive,0.71,Equivocal,0.27,NA,F6
HH092_effluent,Sketa22,NA,No Amp,0.29,Negative,0.3,NA,G1
HH092_effluent,Spiked_Extraction_Control,22.62,Amp,1.34,Positive,0.96,0.58,G2
HH092_effluent,Strongyloides,28.34,Amp,1.24,Positive,0.9,0.51,G3
HH092_effluent,Trichuris,NA,No Amp,0.71,Negative,0.33,NA,G4
HH092_effluent,Vibrio cholerae,34.09,Amp,1.3,Positive,0.91,0.79,G5
HH092_effluent,Yersinia enterocolitica,NA,No Amp,0.43,Negative,0.11,NA,G6
HH092_effluent,blaCTX-M,NA,No Amp,0.92,Negative,0.37,NA,H1
HH092_effluent,blaNDM,NA,No Amp,0.92,Negative,0.07,NA,H2
HH092_effluent,mecA,NA,Inconclusive,0.41,Equivocal,0.15,NA,H3
HH092_effluent,qnrS,NA,No Amp,0.07,Negative,0.39,NA,H4
HH092_effluent,sul1,27.08,Amp,1.9,Positive,0.87,0.99,H5
HH092_effluent,tetA,NA,No Amp,0.8,Negative,0.29,NA,H6
HH092_produce,Adenovirus 40/41,NA,No Amp,0.43,Negative,0.16,NA,A1
HH092_produce,Aeromonas,NA,No Amp,0.24,Negative,0.47,NA,A2
HH092_produce,Ancylostoma,22.84,Amp,1.45,Positive,0.95,0.37,A3
HH092_produce,Ascaris,23.18,Amp,1.53,Positive,0.92,0.66,A4
HH092_produce,Astrovirus,21.31,Amp,1.54,Positive,0.96,0.92,A5
HH092_produce,BacHum,29.98,Amp,1.78,Positive,0.93,0.73,A6
