Sample,Target,Cq,AMP,Amp Score,Result,Cq Conf,Cq SD,Well
HH073_effluent,Adenovirus 40/41,NA,No Amp,0.03,Negative,0.42,NA,A1
HH073_effluent,Aeromonas,NA,No Amp,0.77,Negative,0.09,NA,A2
HH073_effluent,Ancylostoma,21.53,Amp,1.76,Positive,0.91,0.28,A3
HH073_effluent,Ascaris,NA,No Amp,0.12,Negative,0.01,NA,A4
HH073_effluent,Astrovirus,NA,No Amp,0.2,Negative,0.19,NA,A5
HH073_effluent,BacHum,34.89,Amp,1.57,Positive,0.91,0.36,A6
HH073_effluent,Bacteroides fragilis,32.42,Amp,1.49,Positive,0.88,0.67,B1
HH073_effluent,Blastocystis,NA,No Amp,0.69,Negative,0.47,NA,B2
HH073_effluent,Campylobacter,NA,No Amp,0.39,Negative,0.19,NA,B3
HH073_effluent,Clostridium difficile,NA,Inconclusive,0.44,Equivocal,0.24,NA,B4
HH073_effluent,CrAssphage,NA,No Amp,0.61,Negative,0.16,NA,B5
HH073_effluent,Cryptosporidium,NA,No Amp,0.38,Negative,0.02,NA,B6
HH073_effluent,Cyclospora,23.71,Amp,1.59,Positive,0.98,0.16,C1
HH073_effluent,Dientamoeba fragilis,NA,No Amp,0.72,Negative,0.23,NA,C2
HH073_effluent,E. coli O157,NA,No Amp,0.09,Negative,0.45,NA,C3
HH073_effluent,EAEC,23.98,Amp,1.69,Positive,0.95,0.79,C4
HH073_effluent,EPEC,NA,No Amp,0.72,Negative,0.28,NA,C5
HH073_effluent,ETEC,NA,No Amp,0.45,Negative,0.02,NA,C6
HH073_effluent,Entamoeba histolytica,26.37,Amp,1.42,Positive,0.84,0.99,D1
HH073_effluent,Enterovirus,NA,No Amp,0.49,Negative,0.31,NA,D2
HH073_effluent,Giardia,NA,No Amp,0.39,Negative,0.05,NA,D3
HH073_effluent,HF183,NA,Inconclusive,0.93,Equivocal,0.39,NA,D4
HH073_effluent,Helicobacter pylori,NA,No Amp,0.07,Negative,0.26,NA,D5
HH073_effluent,Hepatitis A,NA,No Amp,0.58,Negative,0.22,NA,D6
HH073_effluent,Hepatitis E,30.82,Amp,1.46,Positive,0.92,0.43,E1
HH073_effluent,Listeria monocytogenes,NA,No Amp,1.01,Negative,0.48,NA,E2
HH073_effluent,MS2,32.47,Amp,1.73,Positive,0.91,0.99,E3
HH073_effluent,Necator,23.62,Amp,1.89,Positive,1,0.33,E4
HH073_effluent,No Template Control,NA,No Amp,0.12,Negative,0.43,NA,E5
HH073_effluent,Norovirus GI,NA,No Amp,0.51,Negative,0.3,NA,E6
HH073_effluent,Norovirus GII,NA,Inconclusive,0.46,Equivocal,0.32,NA,F1
HH073_effluent,Rotavirus A,NA,Inconclusive,0.23,Equivocal,0.24,NA,F2
HH073_effluent,STEC,NA,No Amp,0.58,Negative,0.04,NA,F3
HH073_effluent,Salmonella,NA,Inconclusive,0.24,Equivocal,0.05,NA,F4
HH073_effluent,Sapovirus,27.92,Amp,1.79,Positive,0.86,0.79,F5
HH073_effluent,Shigella,NA,No Amp,0.31,Negative,0.34,NA,F6
HH073_effluent,Sketa22,NA,No Amp,0.65,Negative,0.3,NA,G1
HH073_effluent,Spiked_Extraction_Control,NA,No Amp,0.08,Negative,0.27,NA,G2
