Sample,Target,Cq,AMP,Amp Score,Result,Cq Conf,Cq SD,Well
HH043_compost,Adenovirus 40/41,24.9,Amp,1.99,Positive,0.83,0.7,A1
HH043_compost,Aeromonas,NA,No Amp,0.77,Negative,0.37,NA,A2
HH043_compost,Ancylostoma,24.89,Amp,1.82,Positive,0.86,0.46,A3
HH043_compost,Ascaris,30.83,Amp,1.62,Positive,0.98,0.78,A4
HH043_compost,Astrovirus,NA,Inconclusive,0.22,Equivocal,0.09,NA,A5
HH043_compost,BacHum,33.23,Amp,1.79,Positive,0.94,0.53,A6
HH043_compost,Bacteroides fragilis,NA,No Amp,0.92,Negative,0.4,NA,B1
HH043_compost,Blastocystis,NA,No Amp,0.36,Negative,0.35,NA,B2
HH043_compost,Campylobacter,NA,No Amp,0.2,Negative,0.16,NA,B3
HH043_compost,Clostridium difficile,NA,No Amp,0.48,Negative,0.37,NA,B4
HH043_compost,CrAssphage,NA,No Amp,0.72,Negative,0.42,NA,B5
HH043_compost,Cryptosporidium,NA,No Amp,0.62,Negative,0.5,NA,B6
HH043_compost,Cyclospora,NA,No Amp,0.08,Negative,0.46,NA,C1
HH043_compost,Dientamoeba fragilis,23.67,Amp,1.89,Positive,0.94,0.39,C2
HH043_compost,E. coli O157,NA,No Amp,0.29,Negative,0.49,NA,C3
HH043_compost,EAEC,NA,No Amp,0.24,Negative,0.06,NA,C4
HH043_compost,EPEC,NA,No Amp,0.28,Negative,0.23,NA,C5
HH043_compost,ETEC,NA,Inconclusive,0.03,Equivocal,0.29,NA,C6
HH043_compost,Entamoeba histolytica,NA,No Amp,0.39,Negative,0.21,NA,D1
HH043_compost,Enterovirus,NA,No Amp,0.76,Negative,0.27,NA,D2
HH043_compost,Giardia,NA,No Amp,0.54,Negative,0.25,NA,D3
HH043_compost,HF183,NA,No Amp,0.02,Negative,0.11,NA,D4
HH043_compost,Helicobacter pylori,26.43,Amp,1.84,Positive,0.85,0.68,D5
HH043_compost,Hepatitis A,NA,No Amp,0.51,Negative,0.38,NA,D6
HH043_compost,Hepatitis E,NA,No Amp,0.68,Negative,0.38,NA,E1
HH043_compost,Listeria monocytogenes,28.82,Amp,1.53,Positive,0.84,0.96,E2
HH043_compost,MS2,NA,No Amp,0.07,Negative,0.44,NA,E3
HH043_compost,Necator,NA,No Amp,0.28,Negative,0.17,NA,E4
HH043_compost,No Template Control,NA,No Amp,0.91,Negative,0.07,NA,E5
HH043_compost,Norovirus GI,NA,No Amp,1.04,Negative,0.42,NA,E6
HH043_compost,Norovirus GII,34.15,Amp,1.33,Positive,0.99,0.28,F1
HH043_compost,Rotavirus A,NA,No Amp,0.94,Negative,0.3,NA,F2
HH043_compost,STEC,28.53,Amp,1.88,Positive,0.91,0.76,F3
HH043_compost,Salmonella,NA,Inconclusive,1.02,Equivocal,0.49,NA,F4
HH043_compost,Sapovirus,NA,No Amp,0.32,Negative,0.4,NA,F5
HH043_compost,Shigella,NA,No Amp,1.02,Negative,0.24,NA,F6
HH043_compost,Sketa22,26.13,Amp,1.72,Positive,0.88,0.63,G1
HH043_compost,Spiked_Extraction_Control,NA,No Amp,0.41,Negative,0.4,NA,G2
HH043_compost,Strongyloides,NA,No Amp,0.55,Negative,0.26,NA,G3
HH043_compost,Trichuris,27.21,Amp,1.85,Positive,0.87,0.14,G4
HH043_compost,Vibrio cholerae,NA,No Amp,0.27,Negative,0.18,NA,G5
HH043_compost,Yersinia enterocolitica,NA,No Amp,0.55,Negative,0.05,NA,G6
HH043_compost,blaCTX-M,NA,No Amp,0.18,Negative,0.22,NA,H1
HH043_compost,blaNDM,27.45,Amp,1.35,Positive,0.95,0.26,H2
HH043_compost,mecA,NA,No Amp,0.31,Negative,0.46,NA,H3
HH043_compost,qnrS,25.8,Amp,1.48,Positive,0.87,0.28,H4
HH043_compost,sul1,NA,No Amp,0.94,Negative,0.04,NA,H5
HH043_compost,tetA,34.22,Amp,1.62,Positive,0.84,0.61,H6
HH043_effluent,Adenovirus 40/41,NA,No Amp,0.78,Negative,0.4,NA,A1
HH043_effluent,Aeromonas,NA,No Amp,0.58,Negative,0.02,NA,A2
HH043_effluent,Ancylostoma,NA,No Amp,0.67,Negative,0.43,NA,A3
HH043_effluent,Ascaris,NA,No Amp,0.64,Negative,0.2,NA,A4
HH043_effluent,Astrovirus,NA,No Amp,0.87,Negative,0.08,NA,A5
HH043_effluent,BacHum,30.34,Amp,1.49,Positive,0.83,0.14,A6
HH043_effluent,Bacteroides fragilis,31.91,Amp,1.49,Positive,0.95,0.82,B1
HH043_effluent,Blastocystis,NA,No Amp,0.58,Negative,0.5,NA,B2
HH043_effluent,Campylobacter,NA,No Amp,0.29,Negative,0.5,NA,B3
HH043_effluent,Clostridium difficile,NA,Inconclusive,0.74,Equivocal,0.15,NA,B4
HH043_effluent,CrAssphage,NA,No Amp,0.34,Negative,0.08,NA,B5
HH043_effluent,Cryptosporidium,NA,No Amp,0.35,Negative,0.37,NA,B6
HH043_effluent,Cyclospora,NA,No Amp,0.16,Negative,0.06,NA,C1
HH043_effluent,Dientamoeba fragilis,NA,No Amp,1.05,Negative,0.27,NA,C2
HH043_effluent,E. coli O157,NA,No Amp,0.64,Negative,0.35,NA,C3
HH043_effluent,EAEC,NA,No Amp,0.38,Negative,0.31,NA,C4
HH043_effluent,EPEC,NA,Inconclusive,0.97,Equivocal,0.32,NA,C5
HH043_effluent,ETEC,NA,No Amp,0.24,Negative,0.37,NA,C6
HH043_effluent,Entamoeba histolytica,NA,No Amp,0.18,Negative,0.25,NA,D1
HH043_effluent,Enterovirus,29.78,Amp,1.27,Positive,0.99,0.74,D2
HH043_effluent,Giardia,NA,No Amp,0.18,Negative,0.11,NA,D3
HH043_effluent,HF183,NA,No Amp,0.1,Negative,0.07,NA,D4
HH043_effluent,Helicobacter pylori,NA,No Amp,0.83,Negative,0.29,NA,D5
HH043_effluent,Hepatitis A,NA,No Amp,0.69,Negative,0.16,NA,D6
HH043_effluent,Hepatitis E,33.46,Amp,1.61,Positive,0.83,0.36,E1
HH043_effluent,Listeria monocytogenes,NA,No Amp,0.66,Negative,0.26,NA,E2
HH043_effluent,MS2,NA,No Amp,0.96,Negative,0.3,NA,E3
HH043_effluent,Necator,23.61,Amp,1.24,Positive,0.97,0.62,E4
HH043_effluent,No Template Control,NA,No Amp,0.58,Negative,0.14,NA,E5
HH043_effluent,Norovirus GI,NA,No Amp,0.37,Negative,0.32,NA,E6
HH043_effluent,Norovirus GII,30.75,Amp,1.56,Positive,0.9,0.47,F1
HH043_effluent,Rotavirus A,NA,No Amp,0.51,Negative,0.3,NA,F2
HH043_effluent,STEC,21.83,Amp,1.28,Positive,0.89,0.61,F3
HH043_effluent,Salmonella,NA,No Amp,1.07,Negative,0.3,NA,F4
HH043_effluent,Sapovirus,34.51,Amp,1.85,Positive,0.9,0.65,F5
HH043_effluent,Shigella,23.64,Amp,1.46,Positive,0.82,0.15,F6
HH043_effluent,Sketa22,30.05,Amp,1.42,Positive,0.98,0.49,G1
HH043_effluent,Spiked_Extraction_Control,NA,No Amp,0.98,Negative,0.01,NA,G2
HH043_effluent,Strongyloides,NA,No Amp,0.53,Negative,0.34,NA,G3
HH043_effluent,Trichuris,NA,No Amp,1.07,Negative,0.18,NA,G4
HH043_effluent,Vibrio cholerae,22.74,Amp,1.91,Positive,0.97,0.6,G5
HH043_effluent,Yersinia enterocolitica,NA,No Amp,0.56,Negative,0.17,NA,G6
HH043_effluent,blaCTX-M,NA,No Amp,0.71,Negative,0.02,NA,H1
HH043_effluent,blaNDM,NA,No Amp,0.27,Negative,0.17,NA,H2
HH043_effluent,mecA,22.71,Amp,1.81,Positive,0.85,0.71,H3
HH043_effluent,qnrS,NA,Inconclusive,0.95,Equivocal,0.02,NA,H4
HH043_effluent,sul1,NA,No Amp,0.47,Negative,0.04,NA,H5
HH043_effluent,tetA,NA,No Amp,0.88,Negative,0.28,NA,H6
HH043_produce,Adenovirus 40/41,NA,No Amp,0.78,Negative,0.14,NA,A1
HH043_produce,Aeromonas,26.56,Amp,1.33,Positive,0.91,0.64,A2
HH043_produce,Ancylostoma,NA,No Amp,0.49,Negative,0.01,NA,A3
HH043_produce,Ascaris,NA,No Amp,0.72,Negative,0.44,NA,A4
HH043_produce,Astrovirus,33.59,Amp,1.63,Positive,0.89,0.32,A5
HH043_produce,BacHum,32.91,Amp,1.56,Positive,0.99,0.26,A6
HH043_produce,Bacteroides fragilis,NA,No Amp,0.61,Negative,0.12,NA,B1
HH043_produce,Blastocystis,NA,No Amp,0.4,Negative,0.17,NA,B2
HH043_produce,Campylobacter,NA,Inconclusive,0.12,Equivocal,0.18,NA,B3
